Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Rubel Hossain (BDESH),2009-2018,27,14,9,17,8*,3.40,30,56.66,0,0,4,1,0
GR Russ (PHI),2019-2019,3,2,1,17,10,17.00,29,58.62,0,0,0,0,0
SE Rutherford (WI),2018-2019,3,3,0,17,9,5.66,23,73.91,0,0,0,1,0
Shafraz Jaleel (Mald),2019-2019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1
JR Singleton (),2019-2019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0
T Singye (BHU),2019-2019,2,2,0,17,11,8.50,25,68.0,0,0,0,2,0
OR Willis (Caym),2019-2019,3,3,0,17,15,5.66,32,53.12,0,0,0,0,1
Zain ul Tashnam (CRC),2019-2019,3,2,1,17,11,17.00,26,65.38,0,0,0,1,0
IKO Aboagye (Ghana),2019-2019,4,4,0,16,7,4.00,37,43.24,0,0,1,0,0
A Ahmadhel (),2019-2019,3,2,0,16,15,8.00,16,100.0,0,0,0,2,0
P Arrighi (Arg),2019-2019,5,4,0,16,11,4.00,46,34.78,0,0,1,0,0
J Barker (LUX),2019-2019,4,2,0,16,16,8.00,16,100.0,0,0,1,3,0
KK Bishnoi (),2019-2019,3,2,1,16,14,16.00,18,88.88,0,0,0,1,0
M Chauhan (Fin),2019-2019,2,2,0,16,15,8.00,8,200.0,0,0,0,0,2
U Dorji (BHU),2019-2019,2,2,0,16,8,8.00,17,94.11,0,0,0,2,0
CJ Ferguson (AUS),2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0
LF Goncalves (),2019-2019,3,2,0,16,13,8.00,21,76.19,0,0,0,1,0
EH Hutchinson (USA),2019-2019,2,1,0,16,16,16.00,8,200.0,0,0,0,3,0
LS Livingstone (ENG),2017-2017,2,2,0,16,16,8.00,19,84.21,0,0,1,1,0
Mehrab Hossain jnr (BDESH),2008-2009,2,2,1,16,10,16.00,25,64.0,0,0,0,1,0
K Modise (Botsw),2019-2019,3,3,0,16,10,5.33,16,100.0,0,0,1,2,1
Najmul Hossain Shanto (BDESH),2019-2019,2,2,0,16,11,8.00,17,94.11,0,0,0,1,0
F Nsubuga (UGA),2019-2019,3,3,1,16,9,8.00,15,106.66,0,0,0,0,2
JB Reva (PNG),2015-2019,9,4,0,16,7,4.00,22,72.72,0,0,0,1,1
BJ Rohrer (AUS),2013-2013,1,1,0,16,16,16.00,14,114.28,0,0,0,0,1
EHSN Silva (UAE),2014-2014,2,2,1,16,13*,16.00,22,72.72,0,0,0,1,0
DW Steyn (SA),2007-2019,44,10,5,16,5,3.20,23,69.56,0,0,1,1,0
Aamer Yamin (PAK),2015-2018,2,1,1,15,15*,-,6,250.0,0,0,0,1,1
AB Agarkar (INDIA),2006-2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0
Anowarul Islam (THAI),2019-2019,4,4,0,15,9,3.75,20,75.0,0,0,1,1,1
NW Bracken (AUS),2006-2009,19,6,3,15,4*,5.00,22,68.18,0,0,1,1,0
TL Chatara (ZIM),2010-2019,21,3,0,15,8,5.00,18,83.33,0,0,1,1,0
K Christie (HKG),2019-2019,11,4,2,15,11*,7.50,20,75.0,0,0,0,0,0
GL Cloete (SA),2018-2019,2,2,0,15,13,7.50,15,100.0,0,0,0,2,0
SS Cottrell (WI),2014-2019,22,7,4,15,4*,5.00,22,68.18,0,0,1,2,0
N Dutta (CAN),2019-2019,11,3,2,15,12,15.00,13,115.38,0,0,0,1,0
KR Ebanks (Caym),2019-2019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0
J Hill (PHI),2019-2019,4,3,0,15,6,5.00,20,75.0,0,0,0,3,0
E Katchay (CAN),2008-2008,4,3,2,15,8*,15.00,25,60.0,0,0,1,0,0
AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0
Nasrulla Rana (HKG),2019-2019,8,4,2,15,7,7.50,24,62.5,0,0,1,0,0
RN Patel (KENYA),2019-2019,2,2,1,15,15*,15.00,25,60.0,0,0,1,1,0
LA Pomersbach (AUS),2007-2007,1,1,0,15,15,15.00,7,214.28,0,0,0,1,1
RW Price (ZIM),2008-2012,16,9,4,15,7*,3.00,28,53.57,0,0,1,1,0
Shabir Noori (AFG),2012-2012,1,1,0,15,15,15.00,18,83.33,0,0,0,1,0
J Smits (NL),2008-2009,6,2,1,15,11*,15.00,27,55.55,0,0,0,0,0
AO Suji (KENYA),2007-2010,8,5,2,15,7,5.00,29,51.72,0,0,0,0,0
MK Tiwary (INDIA),2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0
Usama Master (MWI),2019-2019,6,2,0,15,15,7.50,13,115.38,0,0,1,1,0
JDF Vandersay (SL),2015-2019,10,7,6,15,8*,15.00,17,88.23,0,0,0,2,0
VB van Jaarsveld (SA),2009-2009,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0
Vikramjit Singh (NL),2019-2019,1,1,0,15,15,15.00,13,115.38,0,0,0,1,0
Abul Hasan (BDESH),2012-2018,5,2,0,14,9,7.00,11,127.27,0,0,0,2,0
CM Akachukwu (NGA),2019-2019,8,5,3,14,8,7.00,15,93.33,0,0,0,0,1
Aminul Islam (BDESH),2019-2019,4,3,2,14,9,14.00,14,100.0,0,0,0,2,0
Aqib Iqbal (Aut),2019-2019,5,1,0,14,14,14.00,6,233.33,0,0,0,0,1
SG Borthwick (ENG),2011-2011,1,1,0,14,14,14.00,16,87.5,0,0,0,2,0
G Dutta (Mex),2019-2019,7,6,0,14,8,2.33,28,50.0,0,0,3,1,0
ST Finn (ENG),2011-2015,21,3,3,14,8*,-,19,73.68,0,0,0,1,0
Ibrahim Zadran (AFG),2019-2019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1
P Jayeshbhai Patel (PNM),2019-2019,2,2,1,14,8*,14.00,11,127.27,0,0,0,0,0
T Langa (VAN),2019-2019,1,1,0,14,14,14.00,9,155.55,0,0,0,2,0
JAH Marshall (NZ),2005-2008,3,2,0,14,13,7.00,15,93.33,0,0,0,2,0
JWN Moses (Botsw),2019-2019,3,3,0,14,9,4.66,20,70.0,0,0,0,0,1
N Nankov (),2019-2019,3,2,1,14,14,14.00,20,70.0,0,0,0,1,0
AN Petersen (SA),2010-2010,2,2,0,14,8,7.00,19,73.68,0,0,0,1,0
VD Philander (SA),2007-2007,7,4,0,14,6,3.50,28,50.0,0,0,0,0,0
S Pillai (CRC),2019-2019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0
C Prasad (CRC),2019-2019,3,3,1,14,11,7.00,29,48.27,0,0,1,1,0
Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0
Ravinder Singh (MALTA),2019-2019,2,2,0,14,8,7.00,13,107.69,0,0,0,0,1
Saqlain Haider (UAE),2016-2016,6,5,1,14,7,3.50,35,40.0,0,0,0,0,0
Shahzad Muhammad (Mex),2019-2019,2,1,0,14,14,14.00,7,200.0,0,0,0,1,1
S Smith (BMUDA),2019-2019,5,3,3,14,7*,-,27,51.85,0,0,0,0,0
S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,14,100.0,0,0,1,3,0
VS Wategaonkar (OMAN),2016-2016,2,1,0,14,14,14.00,14,100.0,0,0,0,1,0
T Whiteman (LUX),2019-2019,4,2,1,14,14*,14.00,10,140.0,0,0,1,0,1
CM Wright (SCOT),2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0
Abdullah Sheikh (NOR),2019-2019,2,2,0,13,11,6.50,18,72.22,0,0,0,1,0
AR Adams (NZ),2005-2006,4,2,1,13,7,13.00,12,108.33,0,0,0,1,0
M Cope (LUX),2019-2019,2,2,1,13,13,13.00,15,86.66,0,0,0,2,0
J Edness (BMUDA),2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0
JA Fitzgerald (GIBR),2019-2019,4,2,2,13,11*,-,10,130.0,0,0,0,0,1
CR Foggo (BMUDA),2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0
SP Gauchan (NEPAL),2014-2015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0
PA Hitchcock (NZ),2008-2008,1,1,0,13,13,13.00,11,118.18,0,0,0,1,1
SHT Kandamby (SL),2008-2011,5,4,0,13,10,3.25,21,61.9,0,0,1,0,0
SKW Kelly (BMUDA),2008-2008,3,2,2,13,11*,-,24,54.16,0,0,0,0,0
Z Khan (INDIA),2006-2012,17,4,2,13,9,6.50,10,130.0,0,0,0,0,1
Lucky Ali (DEN),2019-2019,2,2,0,13,7,6.50,18,72.22,0,0,0,1,0
JL Martel (GUE),2019-2019,3,1,1,13,13*,-,6,216.66,0,0,0,1,1
J Mees (LUX),2019-2019,3,3,2,13,7*,13.00,20,65.0,0,0,0,1,0
Mohammad Nawaz (3) (PAK),2016-2018,16,2,0,13,7,6.50,20,65.0,0,0,0,1,0
Mohammad Rafique (BDESH),2006-2006,1,1,0,13,13,13.00,5,260.0,0,0,0,3,0
Muhammad Hamayun (Saudi),2019-2019,4,2,0,13,8,6.50,10,130.0,0,0,0,1,1
HC Overdijk (NL),2018-2019,4,1,0,13,13,13.00,7,185.71,0,0,0,2,0
CMW Read (ENG),2006-2006,1,1,0,13,13,13.00,11,118.18,0,0,0,2,0
JA Richardson (AUS),2017-2019,9,3,2,13,7*,13.00,6,216.66,0,0,1,2,0
OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.50,18,72.22,0,0,0,0,0
Usman Mushtaq (UAE),2016-2016,3,2,1,13,9,13.00,24,54.16,0,0,0,1,0
Washeem Abbas (MALTA),2019-2019,2,2,1,13,9*,13.00,7,185.71,0,0,0,0,1
J Anderson (IRE),2015-2015,4,2,0,12,9,6.00,18,66.66,0,0,0,1,0
Arslan Ahmed (PORT),2019-2019,3,3,0,12,11,4.00,32,37.5,0,0,1,1,0
Asad Mohammad (GER),2019-2019,9,4,1,12,5,4.00,12,100.0,0,0,0,2,0
Avi Dixit (SGP),2019-2019,1,1,1,12,12*,-,8,150.0,0,0,0,0,1
HMCM Bandara (SL),2006-2009,4,3,1,12,7,6.00,15,80.0,0,0,0,0,0
Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12.00,15,80.0,0,0,0,1,0
CJ Gannon (USA),2019-2019,4,3,2,12,7*,12.00,9,133.33,0,0,0,0,1
R Gaznavi (SGP),2019-2019,2,2,0,12,8,6.00,12,100.0,0,0,0,2,0
H Helva (TKY),2019-2019,4,4,0,12,7,3.00,25,48.0,0,0,2,2,0
HJH Marshall (NZ),2005-2006,3,3,0,12,8,4.00,14,85.71,0,0,0,0,0
D Mejia (CRC),2019-2019,3,1,0,12,12,12.00,10,120.0,0,0,0,2,0
NV Ojha (INDIA),2010-2010,2,2,0,12,10,6.00,27,44.44,0,0,0,2,0
A Patel (MWI),2019-2019,2,2,1,12,6*,12.00,23,52.17,0,0,0,2,0
M Patel (Chile),2019-2019,3,3,0,12,8,4.00,15,80.0,0,0,1,1,1
KOA Powell (WI),2014-2014,1,1,0,12,12,12.00,14,85.71,0,0,0,1,0
Raag Kapur (HKG),2019-2019,4,3,1,12,6,6.00,16,75.0,0,0,0,1,0
R Rampaul (WI),2007-2015,23,6,5,12,8,12.00,21,57.14,0,0,0,0,0
MA Starc (AUS),2012-2019,28,6,2,12,4,3.00,18,66.66,0,0,0,0,0
Ali Ivan (Mald),2019-2019,1,1,0,11,11,11.00,39,28.2,0,0,0,0,0
Apon Mustafizur (Serb),2019-2019,2,2,0,11,11,5.50,28,39.28,0,0,1,2,0
Atif Kamal (LUX),2019-2019,4,3,0,11,11,3.66,18,61.11,0,0,2,1,0
A Bulow (DEN),2019-2019,2,1,0,11,11,11.00,13,84.61,0,0,0,0,1
JD Campbell (WI),2019-2019,2,2,0,11,11,5.50,16,68.75,0,0,1,2,0
A Djorovic (Serb),2019-2019,2,2,0,11,9,5.50,26,42.3,0,0,0,1,0
Fayyaz Ahmed (UAE),2015-2015,1,1,0,11,11,11.00,12,91.66,0,0,0,2,0
S Goustis (),2019-2019,3,1,0,11,11,11.00,19,57.89,0,0,0,0,0
AJ Hall (SA),2006-2006,2,1,0,11,11,11.00,10,110.0,0,0,0,1,0
Inzamam-ul-Haq (PAK),2006-2006,1,1,1,11,11*,-,15,73.33,0,0,0,0,1
Khurram Manzoor (PAK),2016-2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0
KS Lokuarachchi (SL),2012-2012,2,2,0,11,11,5.50,13,84.61,0,0,1,1,0
WK McCallan (IRE),2008-2009,9,3,2,11,9*,11.00,15,73.33,0,0,1,1,0
OC McCoy (WI),2019-2019,2,2,1,11,10,11.00,10,110.0,0,0,0,1,1
Mahedi Hasan (BDESH),2018-2018,1,1,0,11,11,11.00,11,100.0,0,0,0,1,0
WJ Malinda (Mald),2019-2019,3,2,1,11,10*,11.00,9,122.22,0,0,0,0,1
AK Mandal (NEPAL),2015-2015,2,2,0,11,9,5.50,25,44.0,0,0,0,0,0
D Marks (MALTA),2019-2019,2,2,2,11,6*,-,12,91.66,0,0,0,0,0
BJ McCarthy (IRE),2017-2018,6,3,1,11,11*,5.50,7,157.14,0,0,2,0,1
AA Mulla (CAN),2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0
J Reb (Serb),2019-2019,2,2,0,11,9,5.50,14,78.57,0,0,0,1,0
Saqlain Arshad (QAT),2019-2019,2,1,0,11,11,11.00,10,110.0,0,0,0,0,1
V Shetty (UAE),2014-2014,2,2,1,11,10,11.00,13,84.61,0,0,0,1,0
Suresh Kumar (Peru),2019-2019,2,2,1,11,10*,11.00,15,73.33,0,0,0,0,0
SW Tait (AUS),2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1
P Taylor (CZK-R),2019-2019,7,2,1,11,7*,11.00,9,122.22,0,0,0,1,0
H Thaker (CAN),2019-2019,1,1,0,11,11,11.00,9,122.22,0,0,0,0,1
TCW Veillard (GUE),2019-2019,4,2,1,11,8,11.00,17,64.7,0,0,0,0,0
RM West (IRE),2009-2009,5,4,1,11,8,3.66,11,100.0,0,0,0,1,0
Yasir Shah (PAK),2011-2011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0
Zeshan Arif (Aut),2019-2019,4,1,1,11,11*,-,8,137.5,0,0,0,2,0
Aftab Ahmed (2) (DEN),2019-2019,1,1,0,10,10,10.00,13,76.92,0,0,0,1,0
R Avery (),2019-2019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0
CS Baugh (WI),2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0
FH Edwards (WI),2007-2012,20,4,2,10,7*,5.00,9,111.11,0,0,1,1,0
N Pradeep (SL),2016-2019,14,6,5,10,8*,10.00,15,66.66,0,0,1,1,0
S Hallett (Peru),2019-2019,4,4,0,10,5,2.50,16,62.5,0,0,1,1,0
MJ Henry (NZ),2014-2017,6,2,1,10,10,10.00,5,200.0,0,0,0,2,0
S Jyoti (CAN),2008-2008,2,2,1,10,10*,10.00,20,50.0,0,0,1,0,0
G Kaltongga (VAN),2019-2019,3,2,0,10,10,5.00,12,83.33,0,0,1,1,0
RWT Key (ENG),2009-2009,1,1,1,10,10*,-,8,125.0,0,0,0,0,0
ZE Matsinhe (Moz),2019-2019,7,4,1,10,6*,3.33,17,58.82,0,0,1,0,1
Mohammad Ghazanfar (HKG),2019-2019,5,2,1,10,6*,10.00,10,100.0,0,0,0,1,0
S Nerandzic (Serb),2019-2019,2,2,0,10,5,5.00,33,30.3,0,0,0,1,0
M Ntini (SA),2005-2011,10,4,2,10,5,5.00,11,90.9,0,0,1,2,0
PP Ojha (INDIA),2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1
BA Parchment (WI),2007-2007,1,1,0,10,10,10.00,6,166.66,0,0,0,1,1
SL Perera (Ghana),2019-2019,2,2,0,10,7,5.00,23,43.47,0,0,0,0,0
P Raho (PNG),2016-2016,2,2,2,10,8*,-,6,166.66,0,0,0,0,1
SHA Rance (NZ),2017-2019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0
A Rangaswamy (Botsw),2019-2019,4,3,0,10,7,3.33,13,76.92,0,0,1,0,1
D Ravu (PNG),2019-2019,17,4,1,10,6,3.33,9,111.11,0,0,1,1,0
GA Reynold (Blz),2019-2019,3,2,1,10,6*,10.00,10,100.0,0,0,0,0,1
ACL Richards (WI),2007-2007,1,1,0,10,10,10.00,15,66.66,0,0,0,1,0
ZE Surkari (CAN),2008-2008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0
SR Tendulkar (INDIA),2006-2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0
MA Wood (ENG),2015-2019,5,2,2,10,5*,-,12,83.33,0,0,0,1,0
Zahoor Khan (UAE),2017-2019,18,5,2,10,6,3.33,19,52.63,0,0,0,1,0
Zakir Hasan (BDESH),2018-2018,1,1,0,10,10,10.00,9,111.11,0,0,0,1,0
Abdul Rashid (Belg),2019-2019,1,1,0,9,9,9.00,24,37.5,0,0,0,0,0
Afsar Zazai (AFG),2013-2013,1,1,0,9,9,9.00,21,42.85,0,0,0,0,0
Anam Mollik (ITA),2019-2019,2,1,0,9,9,9.00,10,90.0,0,0,0,1,0
P Arora (Mex),2019-2019,2,2,1,9,6*,9.00,4,225.0,0,0,0,0,1
HH Banner (Blz),2019-2019,3,2,1,9,6,9.00,10,90.0,0,0,0,0,1
JJ Celestine (BMUDA),2008-2008,3,3,0,9,7,3.00,17,52.94,0,0,1,0,0
FRJ Coleman (SCOT),2013-2013,1,1,0,9,9,9.00,13,69.23,0,0,0,1,0
BM Duckett (ENG),2019-2019,1,1,0,9,9,9.00,7,128.57,0,0,0,1,0
Elias Sunny (BDESH),2012-2012,7,4,2,9,5,4.50,9,100.0,0,0,0,1,0
H Hiri (PNG),2016-2019,5,4,0,9,4,2.25,15,60.0,0,0,0,0,0
Iqbal Hussain (QAT),2019-2019,15,5,3,9,4*,4.50,10,90.0,0,0,1,1,0
NA Janes (THAI),2019-2019,2,2,0,9,9,4.50,11,81.81,0,0,1,1,0
Kaleemullah (OMAN),2017-2019,6,2,0,9,9,4.50,7,128.57,0,0,1,0,1
JS Kundi (KENYA),2019-2019,6,4,0,9,6,2.25,22,40.9,0,0,1,1,0
R McLaren (SA),2009-2014,12,4,3,9,6*,9.00,13,69.23,0,0,0,0,0
Mohammad Asif (PAK),2006-2010,11,3,3,9,5*,-,3,300.0,0,0,0,2,0
Muhammad Asjed (ESP),2019-2019,2,1,0,9,9,9.00,9,100.0,0,0,0,1,0
Muhammad Wafiq (MAL),2019-2019,4,3,1,9,6*,4.50,12,75.0,0,0,1,1,0
JS Patel (NZ),2005-2008,11,4,1,9,5,3.00,14,64.28,0,0,1,1,0
WKD Perkins (WI),2008-2008,1,1,0,9,9,9.00,11,81.81,0,0,0,1,0
VRCF Poubel (),2019-2019,3,3,2,9,5*,9.00,15,60.0,0,0,0,0,0
A Poulose (OMAN),2017-2017,3,3,0,9,9,3.00,14,64.28,0,0,2,2,0
KW Richardson (AUS),2014-2019,15,2,0,9,9,4.50,8,112.5,0,0,1,0,0
IH Romaine (BMUDA),2008-2008,2,2,0,9,8,4.50,20,45.0,0,0,0,0,0
Sakib Hasan (Serb),2019-2019,2,2,0,9,8,4.50,7,128.57,0,0,0,1,0
MM Sarwar (KUW),2019-2019,5,3,1,9,8,4.50,9,100.0,0,0,1,0,1
RAJ Smith (SCOT),2019-2019,2,1,1,9,9*,-,7,128.57,0,0,0,1,0
B Stanlake (AUS),2017-2019,19,2,1,9,7,9.00,12,75.0,0,0,0,0,1
Syazrul Idrus (MAL),2019-2019,2,1,1,9,9*,-,8,112.5,0,0,0,1,0
Usman Ali (Saudi),2019-2019,5,2,1,9,7,9.00,14,64.28,0,0,0,1,0
T Wangchuk jnr (BHU),2019-2019,2,2,0,9,9,4.50,17,52.94,0,0,1,2,0
S Waqas Ahmed (NOR),2019-2019,5,3,1,9,8*,4.50,20,45.0,0,0,1,0,0
Abbas Saad (Saudi),2019-2019,2,2,0,8,8,4.00,8,100.0,0,0,1,1,0
S Appu (MALTA),2019-2019,4,4,1,8,6,2.66,14,57.14,0,0,0,0,0
B Banerjee (Mex),2019-2019,6,4,2,8,6*,4.00,18,44.44,0,0,2,0,0
AM Blignaut (ZIM),2010-2010,1,1,0,8,8,8.00,8,100.0,0,0,0,1,0
GH Bodi (SA),2007-2007,1,1,0,8,8,8.00,25,32.0,0,0,0,0,0
JJ Bumrah (INDIA),2016-2019,42,6,4,8,7,4.00,13,61.53,0,0,1,1,0
Charanjeet Singh (ITA),2019-2019,3,2,2,8,8*,-,9,88.88,0,0,0,1,0
H Dandapani (Fin),2019-2019,5,3,2,8,5,8.00,15,53.33,0,0,0,0,0
AS Dean (CAN),2008-2013,2,2,0,8,7,4.00,10,80.0,0,0,0,0,0
B Fernando (SL),2015-2015,2,1,1,8,8*,-,12,66.66,0,0,0,1,0
JD Freyone (GIBR),2019-2019,4,4,0,8,4,2.00,29,27.58,0,0,2,0,0
Hamza Dar (ESP),2019-2019,1,1,0,8,8,8.00,6,133.33,0,0,0,1,0
HMRKB Herath (SL),2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0
E Isaneez (UGA),2019-2019,3,2,2,8,7*,-,13,61.53,0,0,0,0,0
S Randiv (SL),2010-2011,7,2,0,8,6,4.00,6,133.33,0,0,0,1,0
N Khanna (MALTA),2019-2019,2,2,0,8,6,4.00,12,66.66,0,0,0,1,0
Khushdil Shah (PAK),2019-2019,1,1,0,8,8,8.00,11,72.72,0,0,0,0,0
Kuldeep Singh (PHI),2019-2019,4,3,0,8,6,2.66,16,50.0,0,0,0,0,0
NCK Liyanage (MAL),2019-2019,6,3,1,8,8,4.00,8,100.0,0,0,1,1,0
BAW Mendis (SL),2008-2014,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0
M Mooketsi (Botsw),2019-2019,7,5,0,8,3,1.60,24,33.33,0,0,1,0,0
Mujeeb Ur Rahman (AFG),2018-2019,16,3,3,8,8*,-,8,100.0,0,0,0,1,0
WA Peatfield (GUE),2019-2019,8,2,1,8,7*,8.00,12,66.66,0,0,0,1,0
CAK Rajitha (SL),2016-2019,10,4,2,8,5,4.00,23,34.78,0,0,1,0,0
Shahadat Hossain (BDESH),2006-2013,6,5,3,8,4*,4.00,12,66.66,0,0,1,0,0
I Sharma (INDIA),2008-2013,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0
Simranjit Singh (ITA),2019-2019,1,1,0,8,8,8.00,9,88.88,0,0,0,0,0
O Thomas (WI),2018-2019,10,4,2,8,8*,4.00,11,72.72,0,0,2,2,0
R Vishwanath (LUX),2019-2019,2,2,0,8,5,4.00,10,80.0,0,0,0,1,0
BV Vitori (ZIM),2012-2016,11,2,2,8,7*,-,7,114.28,0,0,0,0,0
Yasar Idrees (KUW),2019-2019,1,1,0,8,8,8.00,4,200.0,0,0,0,0,1
Al-Amin Hossain (BDESH),2013-2019,28,6,4,7,5*,3.50,12,58.33,0,0,1,1,0
RP Arnold (SL),2006-2006,1,1,0,7,7,7.00,7,100.0,0,0,0,0,0
Aslam Mohammad (),2019-2019,3,1,0,7,7,7.00,8,87.5,0,0,0,1,0
PRP Boissevain (NL),2019-2019,4,2,1,7,7*,7.00,7,100.0,0,0,1,1,0
NB Budayair (NEPAL),2014-2014,4,3,1,7,5,3.50,19,36.84,0,0,1,0,0
MA Carberry (ENG),2014-2014,1,1,0,7,7,7.00,7,100.0,0,0,0,1,0
PKD Chase (IRE),2018-2019,12,5,4,7,4,7.00,13,53.84,0,0,0,1,0
DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7,7,7.00,10,70.0,0,0,0,1,0
P Danci (ROM),2019-2019,2,2,1,7,5,7.00,11,63.63,0,0,0,1,0
DC Delany (IRE),2019-2019,8,2,0,7,7,3.50,6,116.66,0,0,1,0,0
P Kumar (INDIA),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
Kushal Malla (NEPAL),2019-2019,3,2,0,7,5,3.50,15,46.66,0,0,0,1,0
RAS Lakmal (SL),2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0
ND McKenzie (SA),2006-2009,2,1,1,7,7*,-,8,87.5,0,0,0,0,0
S Mahmood (ENG),2019-2019,3,2,1,7,4,7.00,7,100.0,0,0,0,1,0
A Nao (PNG),2017-2017,2,2,2,7,7*,-,4,175.0,0,0,0,1,0
Naveen-ul-Haq (AFG),2019-2019,4,2,1,7,5,7.00,7,100.0,0,0,0,1,0
J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0
Qadeer Ahmed (UAE),2015-2019,10,4,3,7,5*,7.00,12,58.33,0,0,1,1,0
LH Rodrigues (),2019-2019,4,3,2,7,4*,7.00,12,58.33,0,0,1,1,0
GA Rogers (SCOT),2008-2009,2,2,2,7,6*,-,8,87.5,0,0,0,0,0
E Schiferli (NL),2008-2010,7,3,1,7,5*,3.50,16,43.75,0,0,1,0,0
JN Snape (ENG),2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0
Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140.0,0,0,0,0,1
Sumair Khan (MALTA),2019-2019,1,1,0,7,7,7.00,6,116.66,0,0,0,1,0
Syed Rasel (BDESH),2007-2008,8,3,1,7,6,3.50,9,77.77,0,0,0,1,0
Tanveer Ahmed (HKG),2016-2017,5,2,1,7,7*,7.00,11,63.63,0,0,1,1,0
LV van Beek (NL),2014-2016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0
Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
U Aryaman Sunil (SGP),2019-2019,2,1,0,6,6,6.00,4,150.0,0,0,0,0,1
TS Braat (NL),2019-2019,3,2,0,6,5,3.00,7,85.71,0,0,0,1,0
DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.20,18,33.33,0,0,3,1,0
DE Burgess (Samoa),2019-2019,4,4,0,6,3,1.50,12,50.0,0,0,2,0,0
SDJJ Dima (Moz),2019-2019,4,2,0,6,3,3.00,8,75.0,0,0,0,0,0
RMS Eranga (SL),2012-2013,3,1,0,6,6,6.00,7,85.71,0,0,0,1,0
L Evile (Samoa),2019-2019,4,1,0,6,6,6.00,7,85.71,0,0,0,1,0
NM Hauritz (AUS),2009-2009,3,2,0,6,4,3.00,10,60.0,0,0,0,1,0
R Hekure (PNG),2019-2019,8,4,1,6,2*,2.00,12,50.0,0,0,0,0,0
PJ Hughes (AUS),2014-2014,1,1,0,6,6,6.00,8,75.0,0,0,0,1,0
Javed Ahmadi (AFG),2012-2017,3,2,0,6,6,3.00,7,85.71,0,0,1,1,0
Jay Odedra (OMAN),2019-2019,3,1,1,6,6*,-,6,100.0,0,0,0,0,0
D Maisuria (Botsw),2019-2019,6,3,2,6,6*,6.00,11,54.54,0,0,1,0,0
I Master (Botsw),2019-2019,2,2,0,6,4,3.00,8,75.0,0,0,0,1,0
Z McLaughlin (Caym),2019-2019,3,2,2,6,4*,-,16,37.5,0,0,0,0,0
KO Meth (ZIM),2012-2012,2,1,1,6,6*,-,6,100.0,0,0,0,0,0
J Mulder (IRE),2016-2017,8,4,2,6,5*,3.00,11,54.54,0,0,1,0,0
GBW Munaweera (QAT),2019-2019,5,1,1,6,6*,-,7,85.71,0,0,0,0,0
L Ngidi (SA),2017-2018,7,2,1,6,4,6.00,9,66.66,0,0,0,0,0
Omar Hayat (DEN),2019-2019,2,2,0,6,5,3.00,4,150.0,0,0,0,0,0
JA Rudolph (SA),2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
